scenario,active_users,total_monthly_cost_usd,cost_per_active_user_usd,gap_vs_20_target_usd,target_status
low,1,114.31,114.31,-94.31,above_target
low,5,131.57,26.31,-6.31,above_target
low,10,153.14,15.31,4.69,within_target
low,25,217.84,8.71,11.29,within_target
low,50,340.68,6.81,13.19,within_target
low,100,622.35,6.22,13.78,within_target
base,1,118.92,118.92,-98.92,above_target
base,5,154.58,30.92,-10.92,above_target
base,10,199.16,19.92,0.08,within_target
base,25,370.40,14.82,5.18,within_target
base,50,681.80,13.64,6.36,within_target
base,100,1304.60,13.05,6.95,within_target
high,1,135.60,135.60,-115.60,above_target
high,5,248.50,49.70,-29.70,above_target
high,10,432.00,43.20,-23.20,above_target
high,25,991.49,39.66,-19.66,above_target
high,50,1926.22,38.52,-18.52,above_target
high,100,3797.92,37.98,-17.98,above_target
