company_name,segment,source,source_url
AG Door Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Almech Steel Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Ander Lab Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
RenderTec Marketing Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Asiatic Fire System Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Build Plus Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Chee Chee & Co Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Chen Sing (S) Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
CHH Construction System Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Chin Leong Construction Systems Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Chun Hoe Pte Ltd (Singapore),Building Materials,SBMSA,https://sbmsa.org.sg/members/
Everise Warehousing & Transportation Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Faithtech Global Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Ghee Hoe Hardware & Engineering Co Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Hafary Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Kai Lim Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Kian Huat Decoration Construction Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
L&L Supplies Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Leng Teck Impex Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Lian Seng Hin Trading Co (Pte) Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Lian Wang Trading Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
M&G Contracts (S) Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Microcell Marketing (Asia) Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Mondo Build Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Nam Leong Co. Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Nam Soon Timber Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Pipelink-Beckham Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Prospaq Group Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Saniton Ceramic Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
SAS Asia Bar Systems Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Sin Lek Building Materials Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Sintal Enterprise Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
SKS Hydraulic (S) Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Stainless Structurals Asia Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Swee Lee Trading Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Tai Eng (SGP) Trading Co P/L,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Tai Giap Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Top Plasterceil Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Unique Hardware Co. Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Unlimited Enterprise (Pte) Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Viega South East Asia Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Wee Tee Tong Chemical Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Weng Hock Hardware Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
White Horse Ceramic (S) Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Worksite Solutions Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Yi-Lai Trading Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
YZ Timber Trading,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Zingametall (S) Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Unlimited Enterprises (Pte) Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Watch Water (S) Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Nana Steel Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
PWM Steel Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
Floor Melody Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
IGUS Singapore Pte Ltd,Building Materials,SBMSA,https://sbmsa.org.sg/members/
SBMSA was founded in 1928. It was originally called “新加坡枋商公会” (Singapore Timber Merchants’ Association),Building Materials,SBMSA,https://sbmsa.org.sg/members/
