company_name,job_count,job_titles,search_terms_matched,locations
SUKI-YA HOLDINGS PTE. LTD.,11,Assistant Restaurant Manager; Management Trainee (Operations); Restaurant Manager; Restaurant Operations Manager; Senior Restaurant Manager; Senior Restaurant Operations Manager,Quality Control Manager; Quality Manager,Islandwide
TAJIMAYA YAKINIKU PTE. LTD.,7,Assistant Restaurant Manager; Management Trainee (Operations); Restaurant Manager; Restaurant Operations Manager; Senior Restaurant Manager; Senior Restaurant Operations Manager,Quality Control Manager; Quality Manager,Islandwide
TUNG LOK CATERING,6,Quality Assurance Executive,Compliance Executive; Documentation Executive; Food Safety Executive; Operations Executive; QA Executive; Quality Assurance Executive,North
SK CATERING PTE. LTD.,6,Assistant Restaurant Manager; Management Trainee (Operations); Restaurant Manager; Restaurant Operations Manager; Senior Restaurant Manager; Senior Restaurant Operations Manager,Quality Control Manager,Islandwide
PAN PACIFIC HOTELS GROUP LIMITED,5,Hygiene Manager (Hotel); Junior Sous Chef,Compliance Executive; Documentation Executive; Food Safety Executive; Operations Executive,East
TOH THYE SAN FARM,5,Quality Control Executive (Food),Compliance Executive; Food Safety Executive; Food Safety Manager; QC Executive; Quality Control Manager,West
SARAI RESTAURANT PTE. LTD.,5,Assistant Restaurant Manager; Restaurant Manager; Restaurant Operation Manager; Senior Restaurant Manager; Senior Restaurant Operation Manager,Quality Control Manager,Islandwide
JR FOODS PTE. LTD.,4,QA Executive,Food Safety Executive; Food Safety Manager; QA Executive; QA Manager,North
GUARDIAN HEALTH & BEAUTY,4,"Construction Executive; Team Leader, Merchandising Operations (Store Setup Team)",Logistics Executive; Procurement Executive; Supply Chain Coordinator; Supply Chain Executive,East; Islandwide
APAR TECHNOLOGIES PTE. LTD.,3,Team Management Executive,Compliance Executive; Documentation Executive; Operations Executive,Central
ODEM GROUP PRIVATE LIMITED,3,F&B Executive; Kitchen Assistant,Compliance Executive; Food Safety Executive; Food Safety Manager,Islandwide
ACQUA E FARINA PTE. LTD.,3,senior sous chef,Compliance Executive; Food Safety Executive; Operations Executive,West
KF SG PTE. LTD.,3,F&B Executive,Compliance Executive; Food Safety Executive; Operations Executive,Islandwide
OCD HANDS PTE. LTD.,3,BAKERY ASSISTANT; REF Onsite Technician,Food Safety Executive; Food Safety Manager; Quality Control Manager,Central
VFI FOOD PTE. LTD.,3,Operations Executive,Food Safety Executive; Import Export Executive; Warehouse Executive,East
SGO TAS PTE. LTD.,3,Chef De Partie; F&B Captain; F&B Supervisor,Food Safety Executive; Food Safety Manager,Central
MODU K PTE. LTD.,3,Chef De Partie; F&B Captain; F&B Supervisor,Food Safety Executive; Food Safety Manager,Central
ALL ABOUT O PTE. LTD.,3,Chef De Partie; F&B Captain; F&B Supervisor,Food Safety Executive; Food Safety Manager,Central
OAK & EMBER PTE. LTD.,3,Assistant Restaurant Manager; Restaurant Manager,Quality Control Manager; Quality Manager,Islandwide
YASURAGI MW PTE. LTD.,3,Senior Beverage Manager,Food Safety Manager; Quality Control Manager; Quality Manager,Islandwide
SHINYA IZAKAYA LLP,3,Restaurant Manager,Food Safety Manager,Central
MARTINO AGENCY,3,FOOD OUTLET MANAGER; OPERATIONS MANAGER; RESTAURANT MANAGER,Food Safety Manager,Islandwide
MANNA 360 PTE. LTD.,3,F&B AREA MANAGER; F&B STORE MANAGER; Production Crew (Night Shift),Food Safety Manager,Islandwide; South
AC HESED PTE. LTD.,3,F&B AREA MANAGER; F&B OPERATIONS MANAGER; F&B STORE MANAGER,Food Safety Manager,Islandwide
HRNET VENTURES PTE. LTD.,2,"QA Assistant  /  Executive | Up to $4,000 | North-East | F&B  /  Central Kitchen; QA Executive | Up to $4k | Near Tai Seng MRT",QA Executive,Central; Islandwide
ASIA-LINK TECHNOLOGY PTE LTD,2,QA / QC Executive （Food Manufacturing),QC Executive; Quality Assurance Executive,Islandwide
KOPIFELLAS CAFE PTE. LTD.,2,F&B Executive,Compliance Executive; Food Safety Executive,Islandwide
EATZ CATERING SERVICES PTE. LTD.,2,Executive Assistant to the CEO (Governance & Execution Support),Documentation Executive; Operations Executive,East
RANGOOLI FOODS PTE. LTD.,2,Executive Chef,Procurement Executive; Quality Assurance Executive,South
SINGAPORE MARRIOTT TANG PLAZA HOTEL,2,Assistant Restaurant Manager (Wan Hao Chinese Restaurant),Food Safety Executive; Food Safety Manager,Central
QIAN SHAN PTE. LTD.,2,Restaurant Manager,Quality Control Manager; Quality Manager,Islandwide
HUNAN TRADITIONAL CUISINE PTE. LTD.,2,Restaurant Manager,Quality Control Manager; Quality Manager,Islandwide
HARILELA HOSPITALITY PTE. LTD.,2,F&B Assistant Manager,Food Safety Manager; Quality Manager,Islandwide
FIVE DOLLAR FOOD COURT PTE. LTD.,2,F&B Assistant Manager (Coffee Shop); F&B Supervisor  /  Assistant Manager (Coffee Shop),Food Safety Manager,Islandwide
KAFFE GLOBAL PTE. LTD.,2,F&B Captain; F&B Supervisor,Food Safety Manager,Central
WEN JIA BAO MANAGEMENT PTE. LTD.,2,FOOD PRODUCTION GM; Service Manager,Food Safety Manager,Islandwide
CLAYFUL PTE. LTD.,2,F&B Captain; F&B Supervisor,Food Safety Manager,Central
SOUP RESTAURANT SINGAPORE PTE. LTD.,2,Chef; Management Trainee,Food Safety Manager,Islandwide
ANANDHAS RESTAURANT PTE. LTD.,2,F&B Manager; Operation Manager,Food Safety Manager,North
EBISU PRIVATE LIMITED,2,ASSISTANT RESTAURANT MANAGER; RESTAURANT MANAGER,Food Safety Manager,Islandwide
CATERING SOLUTIONS PTE. LTD.,2,PROCUREMENT MANAGER,Procurement Executive; Warehouse Executive,Islandwide
JUMBO GROUP OF RESTAURANTS PTE. LTD.,1,QA Executive,QA Executive,North
DELI HUB CATERING PTE. LTD.,1,QA Executive (Food Safety),QA Executive,West
TEE YIH JIA FOOD MANUFACTURING PTE LTD,1,QA Executive,QA Executive,North
PANDASNACKS PTE. LTD.,1,QA EXECUTIVE,QA Executive,North
TUNGSAN FOOD INDUSTRIES PTE LTD,1,Operation /  QA /  QC Executive,QC Executive,North
Heartware Network,1,"Team Lead /  Head (Marketing, Communications & Engagement)",Quality Assurance Executive,South
NEO GARDEN CATERING PTE. LTD.,1,Operations Manager (Central Kitchen),Quality Assurance Executive,West
SINGABITE PTE. LTD.,1,F&B Executive,Quality Assurance Executive,Islandwide
LAVISH DINE CATERING PTE LTD,1,Halal Assurance & Goods Receiving Executive,Quality Assurance Executive,West
WHOLESOME SAVOUR PTE. LTD.,1,Food & Quality Technician (Senior Executive / Manager),Quality Assurance Executive,Islandwide
MIDDLETON INTERNATIONAL SCHOOL PTE. LTD.,1,Cook (Location: Tampines West),Food Safety Executive,East
THE FULLERTON BAY HOTEL,1,Demi Chef [Western Cuisine],Food Safety Executive,Central
KOPIFELLAS GROUP PTE. LTD.,1,F&B Executive,Food Safety Executive,Islandwide
FOOD REPUBLIC PTE. LTD.,1,F&B Executive,Food Safety Executive,Islandwide
MDESG PTE. LTD.,1,Hot Kitchen Chef,Food Safety Executive,Islandwide
NOORSHABANA PTE. LTD.,1,Executive chef,Food Safety Executive,Islandwide
TANDOORI KAZANA PTE. LTD.,1,North Indian Curry And Tandoor Executive Chef,Food Safety Executive,East
HEY CUISINES PTE. LTD.,1,F&B Executive,Food Safety Executive,Islandwide
MAPLE CATERING PTE. LTD.,1,Jr / Sous Chef,Food Safety Executive,West
UOL CLAYMORE INVESTMENT PTE. LTD.,1,Chef De Cuisine,Food Safety Executive,Islandwide
TEAMLEASE DIGITAL SOLUTIONS PTE. LTD.,1,IT Infra Engineer (12-month Contract),QA Manager,West
HANLIN INTERNATIONAL EDUCATION PTE. LTD.,1,Teaching  Manager or Supervisor,Quality Manager,East
SUSHI EXPRESS GROUP PTE. LTD.,1,KITCHEN STAFF (COLD ROOM ENVIRONMENT),Food Safety Manager,Islandwide
FARMIO SG PTE. LTD.,1,"Warehouse, Supply Chain & Logistics Manager",Food Safety Manager,East
KOPITIAM INVESTMENT PTE. LTD.,1,Restaurant Manager,Food Safety Manager,West
GAO JI FOOD (S) PTE LTD,1,Operations Manager,Food Safety Manager,Islandwide
AUTHENTIC NORTHERN VIETNAM PTE. LTD.,1,FOOD AND BEVERAGE (F&B) MANAGER,Food Safety Manager,Central
MAHARAJA GRILL AND BAR PTE. LTD.,1,Restaurant Assistant Manager,Food Safety Manager,South
MR RESTAURANT & CATERING PTE. LTD.,1,DIGITAL PRODUCT MANAGER,Food Safety Manager,South
RENDER PRIVATE LIMITED,1,assistant chef,Food Safety Manager,West
YUNG SHENG FOOD INDUSTRIES PTE. LTD.,1,Assistant Operations Manager,Food Safety Manager,Islandwide
61 TEBAN GARDENS FOODHOUSE PTE. LTD.,1,Assistant Operations Manager,Food Safety Manager,Islandwide
YUNG SHENG KITCHEN PTE. LTD.,1,Assistant Operations Manager,Food Safety Manager,Islandwide
SAFFRONSIPS PTE. LTD.,1,Restaurant Manager (Indian Restaurant),Food Safety Manager,East
SRISUN EXPRESS RESTAURANT PTE. LTD.,1,CHEF,Food Safety Manager,Islandwide
SRISUN EXPRESS FOOD HOLDING'S PTE. LTD.,1,CHEF,Food Safety Manager,North
FOR THE LOVE OF PRATAS MANUFACTURERS PTE. LTD.,1,chef,Food Safety Manager,Islandwide
SRISUN EXPRESS PTE. LTD.,1,Chef,Food Safety Manager,Islandwide
SUGA RESTAURANT & CATERING SERVICES PTE. LTD.,1,CHEF,Food Safety Manager,Islandwide
CAFE O SINGAPORE PTE. LTD.,1,Chef,Food Safety Manager,Islandwide
BUTTER & CREAM BAKERY PTE. LTD.,1,Area Manager,Food Safety Manager,East
XIN CHAO PTE. LTD.,1,CHEF,Food Safety Manager,Central
MR DAI PTE. LTD.,1,F&B Manager,Food Safety Manager,East
MINOR FOOD GROUP (SINGAPORE) PTE. LTD.,1,Head Chef,Food Safety Manager,Islandwide
FULL OF JOY PTE. LTD.,1,Regional Manager – Food Court  /  食阁区域经理,Food Safety Manager,Islandwide
GENTLE DINING PTE. LTD.,1,Cook & Kitchen Assistant,Food Safety Manager,Islandwide
KABE NO ANA PTE. LTD.,1,RESTAURANT MANAGER,Food Safety Manager,Islandwide
PELYNOOBAKES PTE. LTD.,1,Part Time Cookie Packer,Supply Chain Coordinator,North
TEMP-TEAM PTE LTD,1,"Sales Coordinator (Order Processing), $4,000 - 1 Year Contract",Supply Chain Coordinator,Islandwide
AMERICAN STYLE PTE. LTD.,1,Supply & Demand Chain Executive @ Blue Bottle Coffee,Supply Chain Executive,North
DOMO DINING PTE. LTD.,1,Management Executive (Restaurant  /  F&B),Operations Executive,Islandwide
ALWAYSHIRED PTE. LTD.,1,Executive Chef (Central Kitchen),Warehouse Executive,Islandwide
ATLAS KITCHEN PTE. LTD.,1,Customer Ops Executive,Logistics Executive,Central
